FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,ESTADOS,FECHA_INICIO_OPERACION,FECHA_FIN_OPERACION,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_CONECTADOS,INVERSION,META_VIGENCIA,FECHA_VIGENCIA
2023-10-31,ANTIOQUIA,PUEBLORRICO,EN OPERACION - DESCONECTADA,2020-04-16,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,RISARALDA,APIA,EN OPERACION - DESCONECTADA,2020-04-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,RISARALDA,APIA,EN OPERACION - DESCONECTADA,2020-04-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOLIVAR,TIQUISIO,EN OPERACION - DESCONECTADA,2020-07-18,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOLIVAR,TIQUISIO,EN OPERACION - DESCONECTADA,2020-07-18,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,ANAPOIMA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CUNDINAMARCA,ANAPOIMA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CUNDINAMARCA,PULI,EN OPERACION - DESCONECTADA,2020-05-28,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,MACANAL,EN OPERACION - DESCONECTADA,2020-06-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,LABRANZAGRANDE,EN OPERACION - DESCONECTADA,2020-06-16,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NARIÑO,COLON,EN OPERACION - DESCONECTADA,2020-05-14,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CORDOBA,TUCHÍN,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CORDOBA,TUCHÍN,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,TOLIMA,PURIFICACION,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,5.5458984375,73.34765625,68,53963793,,2023-12-31
2023-10-31,SANTANDER,PUERTO PARRA,EN OPERACION - DESCONECTADA,2020-04-29,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAUCA,ARGELIA,EN OPERACION - DESCONECTADA,2020-07-07,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,SANTANDER,AGUADA,EN OPERACION - DESCONECTADA,2020-05-08,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,META,PUERTO CONCORDIA,EN OPERACION - DESCONECTADA,2020-05-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,META,PUERTO CONCORDIA,EN OPERACION - DESCONECTADA,2020-05-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,ANTIOQUIA,TITIRIBI,EN OPERACION - DESCONECTADA,2021-04-14,2024-01-28,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,ANTIOQUIA,TITIRIBI,EN OPERACION - DESCONECTADA,2021-04-14,2024-01-28,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CORDOBA,LA APARTADA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CORDOBA,LA APARTADA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,BOYACA,TASCO,EN OPERACION - DESCONECTADA,2020-06-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,MAGDALENA,EL PIÑON,EN OPERACION - DESCONECTADA,2020-05-26,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,MAGDALENA,EL PIÑON,EN OPERACION - DESCONECTADA,2020-05-26,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,TOGsI,EN OPERACION - DESCONECTADA,2020-06-12,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,GUAYABETAL,EN OPERACION - DESCONECTADA,2020-06-02,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,COELLO,EN OPERACION - DESCONECTADA,2020-05-07,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,VALLE DEL CAUCA,BUGALAGRANDE,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,VALLE DEL CAUCA,BUGALAGRANDE,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CUNDINAMARCA,VILLAGOMEZ,EN OPERACION - DESCONECTADA,2020-05-22,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,JERICO,EN OPERACION - DESCONECTADA,2020-06-12,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,RISARALDA,BALBOA,EN OPERACION - DESCONECTADA,2020-04-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,RAQUIRA,EN OPERACION - DESCONECTADA,2020-05-27,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,LA MESA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0.1875,1.5986328125,11,53963793,,2023-12-31
2023-10-31,BOYACA,GUACAMAYAS,EN OPERACION - DESCONECTADA,2020-06-11,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,YACOPI,EN OPERACION - DESCONECTADA,2020-05-20,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NORTE DE SANTANDER,LA PLAYA,EN OPERACION - DESCONECTADA,2020-05-27,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,ANTIOQUIA,GOMEZ PLATA,EN OPERACION - DESCONECTADA,2020-02-27,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CALDAS,AGUADAS,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CALDAS,AGUADAS,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,TOLIMA,SUAREZ,EN OPERACION - DESCONECTADA,2020-05-16,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CUNDINAMARCA,CAQUEZA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,BOLIVAR,NOROSI,EN OPERACION - DESCONECTADA,1899-12-30,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CHOCO,EL CARMEN DE ATRATO,EN OPERACION - DESCONECTADA,2020-06-05,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CHOCO,EL CARMEN DE ATRATO,EN OPERACION - DESCONECTADA,2020-06-05,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,MAGDALENA,SANTA ANA,EN OPERACION - DESCONECTADA,2020-05-22,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,MAGDALENA,SANTA ANA,EN OPERACION - DESCONECTADA,2020-05-22,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NARIÑO,EL TAMBO,EN OPERACION - DESCONECTADA,2020-04-28,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,SANTANDER,PUENTE NACIONAL,EN OPERACION - DESCONECTADA,2020-05-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,TABIO,EN OPERACION,1990-01-01,2023-08-27,20,20,2.388671875,37.693359375,63,53963793,,2023-12-31
2023-10-31,BOLIVAR,HATILLO DE LOBA,EN OPERACION - DESCONECTADA,2020-05-22,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAUCA,SUCRE,EN OPERACION - DESCONECTADA,2020-05-14,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,SAN MATEO,EN OPERACION - DESCONECTADA,2020-06-10,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,SANTANDER,CEPITA,EN OPERACION - DESCONECTADA,2020-05-09,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOLIVAR,BARRANCO DE LOBA,EN OPERACION - DESCONECTADA,2020-05-28,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOLIVAR,BARRANCO DE LOBA,EN OPERACION - DESCONECTADA,2020-05-28,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,LA GUAJIRA,FONSECA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,LA GUAJIRA,FONSECA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CUNDINAMARCA,GACHALA,EN OPERACION - DESCONECTADA,2020-06-03,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,HUILA,TELLO,EN OPERACION - DESCONECTADA,2020-04-22,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,HUILA,TELLO,EN OPERACION - DESCONECTADA,2020-04-22,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CHOCO,CARMEN DEL DARIEN,EN OPERACION - DESCONECTADA,1899-12-30,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
