Fecha de emisión,Fecha de corte,"Cód. 
depto.",Departamento,No. de productores con acuerdos comerciales,No. de productores mujeres con acuerdos comerciales,No. de productores hombres con acuerdos comerciales,No. de productores sin definir,"Valor estimado de los acuerdos comerciales
 ($ millones)"
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,23,Córdoba,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,25,Cundinamarca,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,41,Huila,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,44,La Guajira,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,47,Magdalena,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,50,Meta,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,52,Nariño,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,86,Putumayo,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,63,Quindío,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,66,Risaralda,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,70,Sucre,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,73,Tolima,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,76,Valle del Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,99,Vichada,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,5,Antioquia,249,0,0,249,13993100000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,81,Arauca,233,0,0,233,4598300000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,8,Atlántico,496,0,0,496,9301665940
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,13,Bolívar,963,0,0,963,10678999390
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,15,Boyacá,586,6,20,560,10153589520
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,17,Caldas,953,0,0,953,16958879013
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,85,Casanare,208,0,0,208,10290078800
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,19,Cauca,362,0,0,362,3963457924
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,20,Cesar,410,1,16,393,24582528118
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,27,Chocó,42,0,0,42,857600000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,23,Córdoba,156,0,0,156,4743040000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,25,Cundinamarca,221,0,0,221,4794215360
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,94,Guainía,10,0,0,10,112965000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,95,Guaviare,169,0,0,169,4151211500
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,41,Huila,512,0,0,512,17421592000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,44,La Guajira,525,0,0,525,1417516743
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,47,Magdalena,531,0,0,531,17116862154
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,50,Meta,559,0,0,559,14714150700
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,52,Nariño,620,0,0,620,12051363314
